           0  0.120         2000           42   8.4504175e+10      22.5645027
         500  0.100         1015           26   8.7534150e+10      22.6927338
        5000  0.110         1609           38   7.3225691e+10      22.7526360
           0  0.110         2000           39   7.8613504e+10      22.7862034
        5000  0.120         1609           41   7.8645887e+10      22.7928543
        2000  0.080         1609           28   7.1110009e+10      22.9250679
        2000  0.120         2000           36   1.2460537e+11      23.1724224
         100  0.050          404            8   4.6454182e+10      23.2575302
         200  0.030          640           10   5.1613516e+10      23.3113098
        2000  0.060         2000           23   8.0825696e+10      23.3184605
        2000  0.110         1278           37   6.7750814e+10      23.4455910
        1000  0.070         1278           24   6.4535683e+10      23.5270786
         500  0.100          806           30   6.0369084e+10      23.5283508
         100  0.040          404            7   4.3225924e+10      23.5473480
        2000  0.120         1278           40   7.2565506e+10      23.6405678
         500  0.080         1278           19   1.1507723e+11      23.6591320
           0  0.130         2000           45   9.0711917e+10      23.8100929
        5000  0.130         2000           43   1.0588747e+11      23.9867878
         500  0.110          806           32   6.5087271e+10      24.1068611
        1000  0.040         1609           18   7.3172206e+10      24.1435432
        5000  0.100         1609           36   6.8421120e+10      24.1845093
        1000  0.110         1609           30   1.2155390e+11      24.2014198
         500  0.050         1015           18   6.1013225e+10      24.2116966
        5000  0.130         1609           44   8.4703551e+10      24.3062134
        1000  0.120         1278           35   9.2641837e+10      24.3402405
        1000  0.110         1015           36   6.3945540e+10      24.3690643
         500  0.090          806           28   5.6281129e+10      24.4147530
         100  0.060          404            8   5.0068894e+10      24.4340477
           0  0.100         2000           36   7.3415672e+10      24.4823380
         200  0.090          508           21   5.1013337e+10      24.5551472
        2000  0.100         1278           35   6.2887453e+10      24.7147179
           0  0.120         1609           43   7.0166299e+10      24.7209969
        1000  0.120         1015           38   6.8479279e+10      24.8487778
         100  0.020          508            3   6.1113074e+10      24.9496574
         200  0.080          508           20   4.7502344e+10      24.9659195
          50  0.010          321            1   3.9132762e+10      25.0056725
        5000  0.130         2000           47   7.8718296e+10      25.0644932
           0  0.130         1609           46   7.5473412e+10      25.0731888
        5000  0.120         2000           44   7.3591456e+10      25.0830193
          50  0.000          321            1   3.6367503e+10      25.1911926
        2000  0.130         1278           43   7.8238114e+10      25.3074265
         100  0.030          404            7   4.0459239e+10      25.3092804
        1000  0.100         1015           33   5.9583865e+10      25.3624535
        5000  0.080         2000           29   7.3654026e+10      25.3923569
        2000  0.130         1609           41   1.0202984e+11      25.5509853
         200  0.100          508           23   5.4889677e+10      25.6145496
         200  0.080          640           15   7.3653576e+10      25.8146076
           0  0.110         1609           40   6.5055674e+10      25.8343277
        5000  0.120         1278           43   6.3116075e+10      26.0100975
         500  0.120          806           34   6.9840151e+10      26.1511707
        5000  0.130         1278           46   6.7980694e+10      26.1805611
          50  0.020          321            1   4.2114933e+10      26.2668762
           0  0.140         2000           48   9.7893933e+10      26.5208073
